Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Barcelona,Messi,Dribble,0,24,50,64,47,58
Barcelona,Messi,Dribble,0,26,45,55,49,60
Barcelona,Messi,Successful Pass,0,27,49,60,51,72
Barcelona,Messi,Successful Pass,0,36,44,64,39,49
Barcelona,Messi,Ball won,0,41,76,85,-,-
Barcelona,Messi,Successful Pass,0,44,71,87,83,5
Barcelona,Messi,Successful Pass,0,55,74,58,71,50
Barcelona,Messi,Successful Pass,0,58,67,56,71,41
Barcelona,Messi,Successful Pass,1,5,54,64,55,31
Barcelona,Messi,Successful Pass,1,10,44,19,28,28
Barcelona,Messi,Successful Pass,1,27,58,73,53,55
Barcelona,Messi,Successful Pass,1,31,72,82,66,92
Barcelona,Messi,Successful Pass,1,34,72,84,66,93
Barcelona,Messi,Successful Pass,1,39,61,66,76,15
Barcelona,Messi,Successful Pass,1,50,63,53,79,80
Barcelona,Messi,Dribble,1,50,65,48,63,55
Barcelona,Messi,Successful Pass,1,55,78,64,75,68
Barcelona,Messi,Unsuccessful Pass,2,3,75,54,83,34
Barcelona,Messi,Successful Pass,2,11,38,75,58,10
Barcelona,Messi,Unsuccessful Pass,2,25,72,46,89,34
Barcelona,Messi,Foul won,2,33,49,74,-,-
Barcelona,Messi,Corner kick,2,43,99,97,95,95
Barcelona,Messi,Successful Pass,2,46,88,96,73,92
Barcelona,Messi,Successful Pass,2,59,56,68,47,47
Barcelona,Messi,Dribble,3,4,73,49,75,45
Barcelona,Messi,Dribble,3,5,75,45,73,41
Barcelona,Messi,Successful Pass,3,9,77,45,73,46
Barcelona,Messi,Successful Pass,3,12,43,43,44,28
Barcelona,Messi,Successful Pass,3,37,78,88,70,47
Barcelona,Messi,Successful Pass,3,43,60,72,57,31
Barcelona,Messi,Successful Pass,3,49,59,66,78,88
Barcelona,Messi,Successful Pass,3,54,73,86,70,74
Barcelona,Messi,Successful Pass,3,59,62,36,68,34
Barcelona,Messi,Free kick,4,23,70,79,93,58
Barcelona,Messi,Dribble,5,8,87,55,88,59
Barcelona,Messi,Successful Pass,5,17,55,73,53,55
Barcelona,Messi,Successful Pass,5,34,71,33,83,34
Barcelona,Messi,Successful Pass,5,52,31,27,20,23
Barcelona,Messi,Dribble,5,59,40,47,38,52
Barcelona,Messi,Unsuccessful Pass,6,1,35,53,24,50
Barcelona,Messi,Dribble,6,17,67,44,66,57
Barcelona,Messi,Successful Pass,6,19,63,59,49,54
Barcelona,Messi,Foul won,6,26,19,88,-,-
Barcelona,Messi,Free kick,6,46,19,90,4,35
Barcelona,Messi,Successful Pass,6,53,45,33,44,24
Barcelona,Messi,Successful Pass,6,57,45,42,20,70
Barcelona,Messi,Shot on Target,7,11,8,55,5,51
Barcelona,Messi,Successful Pass,7,31,47,21,54,31
Barcelona,Messi,Dribble,7,37,21,25,23,37
Barcelona,Messi,Successful Pass,7,47,20,23,14,13
Barcelona,Messi,Unsuccessful Pass,7,56,30,63,28,68
Barcelona,Messi,Successful Pass,8,0,44,31,52,34
Barcelona,Messi,Successful Pass,8,6,39,43,42,60
Barcelona,Messi,Successful Pass,8,14,27,19,38,32
Barcelona,Messi,Unsuccessful Pass,8,20,24,19,22,35
Barcelona,Messi,Successful Pass,8,58,59,34,68,73
Barcelona,Messi,Unsuccessful Pass,9,7,24,27,21,31
Barcelona,Messi,Successful Pass,9,17,23,23,28,16
Barcelona,Messi,Shot on Target,9,22,2,30,1,36
Barcelona,Messi,Dispossessed,9,48,19,34,18,31
Barcelona,Messi,Successful Pass,10,3,43,12,45,4
Barcelona,Messi,Successful Pass,10,7,37,3,38,9
Barcelona,Messi,Successful Pass,10,17,10,20,23,35
Barcelona,Messi,Dribble,10,24,46,36,17,54
Barcelona,Messi,Shot off Target,10,30,17,54,0,56
Barcelona,Messi,Successful Pass,10,52,46,5,44,19
Barcelona,Messi,Successful Pass,10,58,37,10,39,20
Barcelona,Messi,Dispossessed,11,5,28,55,-,-
Barcelona,Messi,Shot on Target,11,13,3,62,1,59
Barcelona,Messi,Corner kick,11,25,1,98,33,82
Barcelona,Messi,Successful Pass,11,36,22,83,39,43
Barcelona,Messi,Foul won,11,47,63,82,-,-
Barcelona,Messi,Successful Pass,11,59,29,27,23,26
Barcelona,Messi,Dribble,12,2,20,40,13,41
Barcelona,Messi,Successful Pass,12,3,13,41,12,35
Barcelona,Messi,Dribble,13,21,55,38,58,32
Barcelona,Messi,Dribble,13,23,58,32,48,31
Barcelona,Messi,Foul won,13,23,47,30,-,-
Barcelona,Messi,Dribble,13,48,23,32,22,25
Barcelona,Messi,Successful Pass,13,51,24,32,20,78
